wavelength   n   k
4.892429e-01 2.575655e+00 3.021482e-02
4.904403e-01 2.575112e+00 3.003070e-02
4.916377e-01 2.574568e+00 2.984657e-02
4.928352e-01 2.574024e+00 2.966245e-02
4.940326e-01 2.573481e+00 2.947833e-02
4.952300e-01 2.572937e+00 2.929420e-02
4.964394e-01 2.572388e+00 2.910824e-02
4.976369e-01 2.571844e+00 2.892411e-02
4.988343e-01 2.571315e+00 2.875702e-02
5.000318e-01 2.570788e+00 2.859129e-02
5.012292e-01 2.570260e+00 2.842557e-02
5.024266e-01 2.569733e+00 2.825984e-02
5.036241e-01 2.569205e+00 2.809411e-02
5.048215e-01 2.568677e+00 2.792838e-02
5.060189e-01 2.568150e+00 2.776265e-02
5.072164e-01 2.567657e+00 2.760756e-02
5.084258e-01 2.567172e+00 2.745512e-02
5.096232e-01 2.566692e+00 2.730418e-02
5.108207e-01 2.566212e+00 2.715325e-02
5.120181e-01 2.565732e+00 2.700231e-02
5.132155e-01 2.565252e+00 2.685138e-02
5.144130e-01 2.564772e+00 2.670044e-02
5.156104e-01 2.564299e+00 2.655252e-02
5.168078e-01 2.563834e+00 2.640917e-02
5.180053e-01 2.563370e+00 2.626582e-02
5.192027e-01 2.562906e+00 2.612247e-02
5.204121e-01 2.562437e+00 2.597768e-02
5.216096e-01 2.561973e+00 2.583433e-02
5.228070e-01 2.561508e+00 2.569098e-02
5.240044e-01 2.561044e+00 2.554762e-02
5.252019e-01 2.560594e+00 2.542141e-02
5.263993e-01 2.560145e+00 2.529613e-02
5.275967e-01 2.559696e+00 2.517085e-02
5.287942e-01 2.559247e+00 2.504556e-02
5.299916e-01 2.558798e+00 2.492028e-02
5.311891e-01 2.558349e+00 2.479499e-02
5.323985e-01 2.557895e+00 2.466846e-02
5.335959e-01 2.557461e+00 2.454848e-02
5.347933e-01 2.557051e+00 2.443754e-02
5.359908e-01 2.556641e+00 2.432659e-02
5.371882e-01 2.556230e+00 2.421564e-02
5.383857e-01 2.555820e+00 2.410469e-02
5.395831e-01 2.555410e+00 2.399374e-02
5.407805e-01 2.555000e+00 2.388279e-02
5.419780e-01 2.554590e+00 2.377184e-02
5.431754e-01 2.554194e+00 2.366512e-02
5.443848e-01 2.553801e+00 2.355962e-02
5.455822e-01 2.553412e+00 2.345516e-02
5.467797e-01 2.553023e+00 2.335070e-02
5.479771e-01 2.552634e+00 2.324625e-02
5.491746e-01 2.552246e+00 2.314179e-02
5.503720e-01 2.551857e+00 2.303733e-02
5.515694e-01 2.551468e+00 2.293288e-02
5.527669e-01 2.551095e+00 2.283494e-02
5.539643e-01 2.550726e+00 2.273856e-02
5.551617e-01 2.550357e+00 2.264218e-02
5.563711e-01 2.549984e+00 2.254484e-02
5.575686e-01 2.549615e+00 2.244845e-02
5.587660e-01 2.549246e+00 2.235207e-02
5.599635e-01 2.548877e+00 2.225569e-02
5.611609e-01 2.548508e+00 2.215931e-02
5.623583e-01 2.548154e+00 2.206968e-02
5.635558e-01 2.547804e+00 2.198145e-02
5.647532e-01 2.547454e+00 2.189322e-02
5.659506e-01 2.547104e+00 2.180499e-02
5.671481e-01 2.546754e+00 2.171676e-02
5.683575e-01 2.546400e+00 2.162765e-02
5.695549e-01 2.546050e+00 2.153942e-02
5.707524e-01 2.545699e+00 2.145119e-02
5.719498e-01 2.545360e+00 2.136964e-02
5.731472e-01 2.545026e+00 2.129082e-02
5.743447e-01 2.544691e+00 2.121200e-02
5.755421e-01 2.544357e+00 2.113318e-02
5.767395e-01 2.544022e+00 2.105437e-02
5.779370e-01 2.543688e+00 2.097555e-02
5.791344e-01 2.543353e+00 2.089673e-02
5.803438e-01 2.543015e+00 2.081712e-02
5.815413e-01 2.542690e+00 2.074225e-02
5.827387e-01 2.542378e+00 2.067219e-02
5.839361e-01 2.542065e+00 2.060213e-02
5.851336e-01 2.541752e+00 2.053208e-02
5.863310e-01 2.541439e+00 2.046202e-02
5.875285e-01 2.541126e+00 2.039196e-02
5.887259e-01 2.540814e+00 2.032191e-02
5.899233e-01 2.540501e+00 2.025185e-02
5.911208e-01 2.540189e+00 2.018197e-02
5.923302e-01 2.539893e+00 2.011593e-02
5.935276e-01 2.539600e+00 2.005055e-02
5.947250e-01 2.539308e+00 1.998517e-02
5.959225e-01 2.539015e+00 1.991979e-02
5.971199e-01 2.538722e+00 1.985441e-02
5.983174e-01 2.538430e+00 1.978903e-02
5.995148e-01 2.538137e+00 1.972365e-02
6.007122e-01 2.537844e+00 1.965827e-02
6.019097e-01 2.537558e+00 1.959486e-02
6.031071e-01 2.537278e+00 1.953352e-02
6.043165e-01 2.536995e+00 1.947156e-02
6.055140e-01 2.536715e+00 1.941022e-02
6.067114e-01 2.536435e+00 1.934888e-02
6.079088e-01 2.536155e+00 1.928754e-02
6.091063e-01 2.535875e+00 1.922620e-02
6.103037e-01 2.535595e+00 1.916486e-02
6.115011e-01 2.535315e+00 1.910352e-02
6.126986e-01 2.535043e+00 1.904821e-02
6.138960e-01 2.534773e+00 1.899449e-02
6.150934e-01 2.534503e+00 1.894077e-02
6.163029e-01 2.534231e+00 1.888651e-02
6.175003e-01 2.533961e+00 1.883279e-02
6.186977e-01 2.533691e+00 1.877907e-02
6.198952e-01 2.533422e+00 1.872535e-02
6.210926e-01 2.533152e+00 1.867163e-02
6.222900e-01 2.532882e+00 1.861790e-02
6.234875e-01 2.532631e+00 1.857040e-02
6.246849e-01 2.532381e+00 1.852326e-02
6.258823e-01 2.532131e+00 1.847613e-02
6.270798e-01 2.531881e+00 1.842899e-02
6.282772e-01 2.531631e+00 1.838185e-02
6.294866e-01 2.531379e+00 1.833424e-02
6.306841e-01 2.531129e+00 1.828711e-02
6.318815e-01 2.530879e+00 1.823997e-02
6.330789e-01 2.530629e+00 1.819283e-02
6.342764e-01 2.530391e+00 1.814952e-02
6.354738e-01 2.530153e+00 1.810644e-02
6.366713e-01 2.529915e+00 1.806336e-02
6.378687e-01 2.529678e+00 1.802028e-02
6.390661e-01 2.529440e+00 1.797720e-02
6.402636e-01 2.529202e+00 1.793413e-02
6.414730e-01 2.528962e+00 1.789062e-02
6.426704e-01 2.528724e+00 1.784754e-02
6.438678e-01 2.528487e+00 1.780446e-02
6.450653e-01 2.528259e+00 1.776551e-02
6.462627e-01 2.528034e+00 1.772770e-02
6.474602e-01 2.527810e+00 1.768989e-02
6.486576e-01 2.527585e+00 1.765208e-02
6.498550e-01 2.527360e+00 1.761426e-02
6.510525e-01 2.527136e+00 1.757645e-02
6.522499e-01 2.526911e+00 1.753864e-02
6.534593e-01 2.526684e+00 1.750045e-02
6.546568e-01 2.526460e+00 1.746263e-02
6.558542e-01 2.526244e+00 1.742553e-02
6.570516e-01 2.526037e+00 1.738924e-02
6.582491e-01 2.525831e+00 1.735294e-02
6.594465e-01 2.525625e+00 1.731665e-02
6.606439e-01 2.525419e+00 1.728035e-02
6.618414e-01 2.525213e+00 1.724406e-02
6.630388e-01 2.525007e+00 1.720777e-02
6.642362e-01 2.524801e+00 1.717147e-02
6.654457e-01 2.524593e+00 1.713481e-02
6.666431e-01 2.524387e+00 1.709852e-02
6.678405e-01 2.524184e+00 1.706381e-02
6.690380e-01 2.523982e+00 1.702912e-02
6.702354e-01 2.523779e+00 1.699442e-02
6.714328e-01 2.523576e+00 1.695973e-02
6.726303e-01 2.523374e+00 1.692503e-02
6.738277e-01 2.523171e+00 1.689034e-02
6.750251e-01 2.522969e+00 1.685565e-02
6.762226e-01 2.522766e+00 1.682095e-02
6.774320e-01 2.522562e+00 1.678591e-02
6.786294e-01 2.522362e+00 1.675324e-02
6.798269e-01 2.522170e+00 1.672436e-02
6.810243e-01 2.521977e+00 1.669548e-02
6.822217e-01 2.521785e+00 1.666660e-02
6.834192e-01 2.521592e+00 1.663772e-02
6.846166e-01 2.521399e+00 1.660884e-02
6.858141e-01 2.521207e+00 1.657996e-02
6.870115e-01 2.521014e+00 1.655108e-02
6.882089e-01 2.520822e+00 1.652220e-02
6.894183e-01 2.520627e+00 1.649303e-02
6.906158e-01 2.520443e+00 1.646555e-02
6.918132e-01 2.520266e+00 1.643928e-02
6.930106e-01 2.520088e+00 1.641300e-02
6.942081e-01 2.519911e+00 1.638673e-02
6.954055e-01 2.519734e+00 1.636046e-02
6.966030e-01 2.519556e+00 1.633418e-02
6.978004e-01 2.519379e+00 1.630791e-02
6.989978e-01 2.519202e+00 1.628164e-02
7.001953e-01 2.519024e+00 1.625536e-02
7.014047e-01 2.518845e+00 1.622883e-02
7.026021e-01 2.518671e+00 1.620336e-02
7.037996e-01 2.518499e+00 1.617853e-02
7.049970e-01 2.518328e+00 1.615370e-02
7.061944e-01 2.518156e+00 1.612887e-02
7.073919e-01 2.517984e+00 1.610404e-02
7.085893e-01 2.517812e+00 1.607921e-02
7.097867e-01 2.517640e+00 1.605438e-02
7.109842e-01 2.517469e+00 1.602955e-02
7.121816e-01 2.517297e+00 1.600473e-02
7.133910e-01 2.517123e+00 1.597965e-02
7.145885e-01 2.516954e+00 1.595679e-02
7.157859e-01 2.516789e+00 1.593686e-02
7.169833e-01 2.516623e+00 1.591692e-02
7.181808e-01 2.516458e+00 1.589699e-02
7.193782e-01 2.516293e+00 1.587705e-02
7.205756e-01 2.516128e+00 1.585711e-02
7.217731e-01 2.515962e+00 1.583718e-02
7.229705e-01 2.515797e+00 1.581724e-02
7.241680e-01 2.515632e+00 1.579730e-02
7.253774e-01 2.515465e+00 1.577717e-02
7.265748e-01 2.515301e+00 1.575743e-02
7.277722e-01 2.515150e+00 1.574020e-02
7.289697e-01 2.515000e+00 1.572298e-02
7.301671e-01 2.514849e+00 1.570575e-02
7.313645e-01 2.514698e+00 1.568852e-02
7.325620e-01 2.514548e+00 1.567130e-02
7.337594e-01 2.514397e+00 1.565407e-02
7.349569e-01 2.514247e+00 1.563684e-02
7.361543e-01 2.514096e+00 1.561961e-02
7.373637e-01 2.513944e+00 1.560221e-02
7.385611e-01 2.513794e+00 1.558499e-02
7.397586e-01 2.513646e+00 1.556786e-02
7.409560e-01 2.513502e+00 1.555080e-02
7.421534e-01 2.513358e+00 1.553375e-02
7.433509e-01 2.513213e+00 1.551670e-02
7.445483e-01 2.513069e+00 1.549964e-02
7.457458e-01 2.512924e+00 1.548259e-02
7.469432e-01 2.512780e+00 1.546553e-02
7.481406e-01 2.512635e+00 1.544848e-02
7.493500e-01 2.512489e+00 1.543126e-02
7.505475e-01 2.512345e+00 1.541420e-02
7.517449e-01 2.512200e+00 1.539715e-02
7.529424e-01 2.512059e+00 1.538341e-02
7.541398e-01 2.511918e+00 1.537015e-02
7.553372e-01 2.511776e+00 1.535690e-02
7.565347e-01 2.511635e+00 1.534364e-02
7.577321e-01 2.511494e+00 1.533039e-02
7.589295e-01 2.511353e+00 1.531713e-02
7.601270e-01 2.511211e+00 1.530387e-02
7.613244e-01 2.511070e+00 1.529062e-02
7.625338e-01 2.510928e+00 1.527723e-02
7.637313e-01 2.510786e+00 1.526397e-02
7.649287e-01 2.510645e+00 1.525072e-02
7.661261e-01 2.510518e+00 1.523978e-02
7.673236e-01 2.510391e+00 1.522884e-02
7.685210e-01 2.510264e+00 1.521791e-02
7.697184e-01 2.510137e+00 1.520697e-02
7.709159e-01 2.510010e+00 1.519604e-02
7.721133e-01 2.509883e+00 1.518511e-02
7.733108e-01 2.509756e+00 1.517417e-02
7.745202e-01 2.509628e+00 1.516313e-02
7.757176e-01 2.509501e+00 1.515220e-02
7.769150e-01 2.509374e+00 1.514126e-02
7.781125e-01 2.509247e+00 1.513033e-02
7.793099e-01 2.509124e+00 1.511908e-02
7.805073e-01 2.509001e+00 1.510781e-02
7.817048e-01 2.508878e+00 1.509654e-02
7.829022e-01 2.508755e+00 1.508527e-02
7.840997e-01 2.508633e+00 1.507400e-02
7.852971e-01 2.508510e+00 1.506273e-02
7.865065e-01 2.508386e+00 1.505134e-02
7.877039e-01 2.508263e+00 1.504007e-02
7.889014e-01 2.508141e+00 1.502880e-02
7.900988e-01 2.508018e+00 1.501753e-02
7.912963e-01 2.507895e+00 1.500626e-02
7.924937e-01 2.507775e+00 1.499691e-02
7.936911e-01 2.507656e+00 1.498850e-02
7.948886e-01 2.507536e+00 1.498009e-02
7.960860e-01 2.507417e+00 1.497168e-02
7.972834e-01 2.507298e+00 1.496327e-02
7.984928e-01 2.507177e+00 1.495477e-02
7.996903e-01 2.507058e+00 1.494636e-02
8.008877e-01 2.506939e+00 1.493795e-02
8.020852e-01 2.506819e+00 1.492953e-02
8.032826e-01 2.506700e+00 1.492112e-02
8.044800e-01 2.506581e+00 1.491271e-02
8.056775e-01 2.506464e+00 1.490448e-02
8.068749e-01 2.506356e+00 1.489690e-02
