wavelength   n
4.892429e-01 2.575655e+00
4.904403e-01 2.575112e+00
4.916377e-01 2.574568e+00
4.928352e-01 2.574024e+00
4.940326e-01 2.573481e+00
4.952300e-01 2.572937e+00
4.964394e-01 2.572388e+00
4.976369e-01 2.571844e+00
4.988343e-01 2.571315e+00
5.000318e-01 2.570788e+00
5.012292e-01 2.570260e+00
5.024266e-01 2.569733e+00
5.036241e-01 2.569205e+00
5.048215e-01 2.568677e+00
5.060189e-01 2.568150e+00
5.072164e-01 2.567657e+00
5.084258e-01 2.567172e+00
5.096232e-01 2.566692e+00
5.108207e-01 2.566212e+00
5.120181e-01 2.565732e+00
5.132155e-01 2.565252e+00
5.144130e-01 2.564772e+00
5.156104e-01 2.564299e+00
5.168078e-01 2.563834e+00
5.180053e-01 2.563370e+00
5.192027e-01 2.562906e+00
5.204121e-01 2.562437e+00
5.216096e-01 2.561973e+00
5.228070e-01 2.561508e+00
5.240044e-01 2.561044e+00
5.252019e-01 2.560594e+00
5.263993e-01 2.560145e+00
5.275967e-01 2.559696e+00
5.287942e-01 2.559247e+00
5.299916e-01 2.558798e+00
5.311891e-01 2.558349e+00
5.323985e-01 2.557895e+00
5.335959e-01 2.557461e+00
5.347933e-01 2.557051e+00
5.359908e-01 2.556641e+00
5.371882e-01 2.556230e+00
5.383857e-01 2.555820e+00
5.395831e-01 2.555410e+00
5.407805e-01 2.555000e+00
5.419780e-01 2.554590e+00
5.431754e-01 2.554194e+00
5.443848e-01 2.553801e+00
5.455822e-01 2.553412e+00
5.467797e-01 2.553023e+00
5.479771e-01 2.552634e+00
5.491746e-01 2.552246e+00
5.503720e-01 2.551857e+00
5.515694e-01 2.551468e+00
5.527669e-01 2.551095e+00
5.539643e-01 2.550726e+00
5.551617e-01 2.550357e+00
5.563711e-01 2.549984e+00
5.575686e-01 2.549615e+00
5.587660e-01 2.549246e+00
5.599635e-01 2.548877e+00
5.611609e-01 2.548508e+00
5.623583e-01 2.548154e+00
5.635558e-01 2.547804e+00
5.647532e-01 2.547454e+00
5.659506e-01 2.547104e+00
5.671481e-01 2.546754e+00
5.683575e-01 2.546400e+00
5.695549e-01 2.546050e+00
5.707524e-01 2.545699e+00
5.719498e-01 2.545360e+00
5.731472e-01 2.545026e+00
5.743447e-01 2.544691e+00
5.755421e-01 2.544357e+00
5.767395e-01 2.544022e+00
5.779370e-01 2.543688e+00
5.791344e-01 2.543353e+00
5.803438e-01 2.543015e+00
5.815413e-01 2.542690e+00
5.827387e-01 2.542378e+00
5.839361e-01 2.542065e+00
5.851336e-01 2.541752e+00
5.863310e-01 2.541439e+00
5.875285e-01 2.541126e+00
5.887259e-01 2.540814e+00
5.899233e-01 2.540501e+00
5.911208e-01 2.540189e+00
5.923302e-01 2.539893e+00
5.935276e-01 2.539600e+00
5.947250e-01 2.539308e+00
5.959225e-01 2.539015e+00
5.971199e-01 2.538722e+00
5.983174e-01 2.538430e+00
5.995148e-01 2.538137e+00
6.007122e-01 2.537844e+00
6.019097e-01 2.537558e+00
6.031071e-01 2.537278e+00
6.043165e-01 2.536995e+00
6.055140e-01 2.536715e+00
6.067114e-01 2.536435e+00
6.079088e-01 2.536155e+00
6.091063e-01 2.535875e+00
6.103037e-01 2.535595e+00
6.115011e-01 2.535315e+00
6.126986e-01 2.535043e+00
6.138960e-01 2.534773e+00
6.150934e-01 2.534503e+00
6.163029e-01 2.534231e+00
6.175003e-01 2.533961e+00
