wavelength   n   k
4.892429e-01 2.575655e+00 3.021482e-02
4.892548e-01 2.575650e+00 3.021298e-02
4.892668e-01 2.575645e+00 3.021114e-02
4.892788e-01 2.575639e+00 3.020930e-02
4.892907e-01 2.575634e+00 3.020746e-02
4.893027e-01 2.575628e+00 3.020562e-02
4.893147e-01 2.575623e+00 3.020378e-02
4.893267e-01 2.575617e+00 3.020193e-02
4.893386e-01 2.575612e+00 3.020009e-02
4.893506e-01 2.575606e+00 3.019825e-02
4.893626e-01 2.575601e+00 3.019641e-02
4.893746e-01 2.575596e+00 3.019457e-02
4.893865e-01 2.575590e+00 3.019273e-02
4.893985e-01 2.575585e+00 3.019089e-02
4.894105e-01 2.575579e+00 3.018905e-02
4.894225e-01 2.575574e+00 3.018720e-02
4.894344e-01 2.575568e+00 3.018536e-02
4.894464e-01 2.575563e+00 3.018352e-02
4.894584e-01 2.575558e+00 3.018168e-02
4.894704e-01 2.575552e+00 3.017984e-02
4.894823e-01 2.575547e+00 3.017800e-02
4.894943e-01 2.575541e+00 3.017616e-02
4.895063e-01 2.575536e+00 3.017432e-02
4.895183e-01 2.575530e+00 3.017247e-02
4.895302e-01 2.575525e+00 3.017063e-02
4.895422e-01 2.575519e+00 3.016879e-02
4.895542e-01 2.575514e+00 3.016695e-02
4.895662e-01 2.575509e+00 3.016511e-02
4.895781e-01 2.575503e+00 3.016327e-02
4.895901e-01 2.575498e+00 3.016143e-02
4.896021e-01 2.575492e+00 3.015959e-02
4.896141e-01 2.575487e+00 3.015774e-02
4.896260e-01 2.575481e+00 3.015590e-02
4.896380e-01 2.575476e+00 3.015406e-02
4.896500e-01 2.575471e+00 3.015222e-02
4.896620e-01 2.575465e+00 3.015038e-02
4.896739e-01 2.575460e+00 3.014854e-02
4.896859e-01 2.575454e+00 3.014670e-02
4.896979e-01 2.575449e+00 3.014486e-02
4.897099e-01 2.575443e+00 3.014301e-02
4.897218e-01 2.575438e+00 3.014117e-02
4.897338e-01 2.575432e+00 3.013933e-02
4.897458e-01 2.575427e+00 3.013749e-02
4.897577e-01 2.575422e+00 3.013565e-02
4.897697e-01 2.575416e+00 3.013381e-02
4.897817e-01 2.575411e+00 3.013197e-02
4.897937e-01 2.575405e+00 3.013013e-02
4.898056e-01 2.575400e+00 3.012828e-02
4.898176e-01 2.575394e+00 3.012644e-02
4.898296e-01 2.575389e+00 3.012460e-02
4.898416e-01 2.575384e+00 3.012276e-02
4.898535e-01 2.575378e+00 3.012092e-02
4.898655e-01 2.575373e+00 3.011908e-02
4.898775e-01 2.575367e+00 3.011724e-02
4.898895e-01 2.575362e+00 3.011540e-02
4.899014e-01 2.575356e+00 3.011355e-02
4.899134e-01 2.575351e+00 3.011171e-02
4.899254e-01 2.575346e+00 3.010987e-02
4.899374e-01 2.575340e+00 3.010803e-02
4.899493e-01 2.575335e+00 3.010619e-02
4.899613e-01 2.575329e+00 3.010435e-02
4.899733e-01 2.575324e+00 3.010251e-02
4.899853e-01 2.575318e+00 3.010067e-02
4.899972e-01 2.575313e+00 3.009882e-02
4.900092e-01 2.575307e+00 3.009698e-02
4.900212e-01 2.575302e+00 3.009514e-02
4.900332e-01 2.575297e+00 3.009330e-02
4.900451e-01 2.575291e+00 3.009146e-02
4.900571e-01 2.575286e+00 3.008962e-02
4.900691e-01 2.575280e+00 3.008778e-02
4.900811e-01 2.575275e+00 3.008594e-02
4.900930e-01 2.575269e+00 3.008409e-02
4.901050e-01 2.575264e+00 3.008225e-02
4.901170e-01 2.575259e+00 3.008041e-02
4.901290e-01 2.575253e+00 3.007857e-02
4.901409e-01 2.575248e+00 3.007673e-02
4.901529e-01 2.575242e+00 3.007489e-02
4.901649e-01 2.575237e+00 3.007305e-02
4.901769e-01 2.575231e+00 3.007121e-02
4.901888e-01 2.575226e+00 3.006936e-02
4.902008e-01 2.575220e+00 3.006752e-02
4.902128e-01 2.575215e+00 3.006568e-02
4.902247e-01 2.575210e+00 3.006384e-02
4.902367e-01 2.575204e+00 3.006200e-02
4.902487e-01 2.575199e+00 3.006016e-02
4.902607e-01 2.575193e+00 3.005832e-02
4.902726e-01 2.575188e+00 3.005648e-02
4.902846e-01 2.575182e+00 3.005463e-02
4.902966e-01 2.575177e+00 3.005279e-02
4.903086e-01 2.575172e+00 3.005095e-02
4.903205e-01 2.575166e+00 3.004911e-02
4.903325e-01 2.575161e+00 3.004727e-02
4.903445e-01 2.575155e+00 3.004543e-02
4.903565e-01 2.575150e+00 3.004359e-02
4.903684e-01 2.575144e+00 3.004175e-02
4.903804e-01 2.575139e+00 3.003990e-02
4.903924e-01 2.575133e+00 3.003806e-02
4.904044e-01 2.575128e+00 3.003622e-02
4.904163e-01 2.575123e+00 3.003438e-02
4.904283e-01 2.575117e+00 3.003254e-02
4.904403e-01 2.575112e+00 3.003070e-02
4.904523e-01 2.575106e+00 3.002886e-02
4.904642e-01 2.575101e+00 3.002702e-02
4.904762e-01 2.575095e+00 3.002517e-02
4.904882e-01 2.575090e+00 3.002333e-02
4.905002e-01 2.575085e+00 3.002149e-02
4.905121e-01 2.575079e+00 3.001965e-02
4.905241e-01 2.575074e+00 3.001781e-02
4.905361e-01 2.575068e+00 3.001597e-02
4.905481e-01 2.575063e+00 3.001413e-02
4.905600e-01 2.575057e+00 3.001229e-02
4.905720e-01 2.575052e+00 3.001045e-02
4.905840e-01 2.575046e+00 3.000860e-02
4.905960e-01 2.575041e+00 3.000676e-02
4.906079e-01 2.575036e+00 3.000492e-02
4.906199e-01 2.575030e+00 3.000308e-02
4.906319e-01 2.575025e+00 3.000124e-02
4.906439e-01 2.575019e+00 2.999940e-02
4.906558e-01 2.575014e+00 2.999756e-02
4.906678e-01 2.575008e+00 2.999572e-02
4.906798e-01 2.575003e+00 2.999387e-02
4.906917e-01 2.574998e+00 2.999203e-02
4.907037e-01 2.574992e+00 2.999019e-02
4.907157e-01 2.574987e+00 2.998835e-02
4.907277e-01 2.574981e+00 2.998651e-02
